RandomID,Respondent ID,Progress,Duration (in seconds),Q1_Consent,Q2_PurchaseRecent,Q3_DecisionRole,Q4_PurchaseFreq,Q5_UsualChannel,Q5_UsualChannel_5_TEXT,Q6_BrandsBought,Q6_BrandsBought_9_TEXT,Q7_BrandMostOften,Q8_AttrImportance_1,Q8_AttrImportance_2,Q8_AttrImportance_3,Q8_AttrImportance_4,Q8_AttrImportance_5,Q8_AttrImportance_6,Q8_AttrImportance_7,Q8h_QualityCheck_Trap1,Q9_Tradeoff,Q10_ActiveSeeking,Q11_Appeal,Q12_PurchaseIntent,Q13_Replacement,Q13A_WhatReplaced,Q14_InterestComparison,Q15_AttentionCheck_1,Q16_PurchaseLocation,Q17a_Price399,Q17b_Price499,Q17c_Price599,Q17d_Price699,Q17e_Price799,Q18_PriceTooExpensive,Q19_ClubStore4Pack,Q20_OnlineDelivery,Q21_DietFocus,Q22_HouseholdType,Q23_Age,Q24_Income,ClaimCell,ConceptLabel
6379,R030,100,229,1,1,2,4,1,,7,,7,5,4,2,2,2,5,1,1,3,4,1,1,3,,1,4,1,1,1,1,1,1,1,1,1,4,1,2,5,1,with higher protein
1017,R032,100,310,1,1,1,4,1,,9,Ice cream without sugar,3,4,2,4,3,2,3,2,1,3,4,4,3,3,,3,4,1,3,3,3,3,3,10,2,2,1,1,3,6,2,with low or zero added sugar
3184,R033,100,235,1,1,2,3,1,,"7,8",,8,5,2,2,5,3,5,3,1,3,4,3,4,2,4,4,4,1,5,5,5,5,4,10,4,1,3,2,2,5,3,with higher protein and low or zero added sugar
9784,R036,100,204,1,1,1,3,2,,"2,3",,3,2,4,5,3,3,3,3,1,3,2,2,2,2,3,2,4,1,4,4,3,2,2,4.99,1,1,3,3,3,6,1,with higher protein
1319,R037,100,552,1,1,2,2,2,,"8,9",Melona,7,5,4,3,1,1,1,2,1,3,4,2,3,2,1,4,4,1,5,5,4,3,3,7.99,3,1,1,3,2,5,2,with low or zero added sugar
9660,R038,100,260,1,1,2,3,1,,8,,8,5,1,4,1,1,1,1,1,3,4,2,3,4,,5,4,1,1,5,3,5,4,7.99,3,1,4,3,3,6,2,with low or zero added sugar
2798,R039,100,580,1,1,2,3,1,,3,,3,4,2,3,2,2,3,3,1,3,4,3,4,2,3,4,4,1,5,4,4,3,3,7.99,2,2,3,3,3,6,3,with higher protein and low or zero added sugar
4963,R040,100,546,1,1,1,4,1,,"3,8",,8,5,2,1,3,2,3,2,1,3,4,2,4,3,,3,4,1,3,3,2,2,2,8.99,1,3,1,3,3,6,1,with higher protein
1618,R041,100,264,1,1,1,4,1,,3,,3,5,2,3,1,1,1,1,1,3,4,1,3,4,,3,4,1,3,3,3,3,3,10,1,1,4,1,2,6,2,with low or zero added sugar
1439,R042,100,216,1,1,2,3,1,,"7,9",talenti,7,4,1,1,4,4,1,4,1,1,3,3,3,3,,3,4,1,3,3,3,3,3,10,2,2,3,2,1,6,1,with higher protein
4120,R047,100,232,1,1,2,4,1,,9,Van leeuwens,9,4,3,3,1,1,4,1,1,3,4,2,1,4,,1,4,4,1,2,3,3,2,8,1,1,3,2,2,6,1,with higher protein
2292,R048,100,174,1,1,1,3,1,,3,,3,5,3,4,3,3,3,2,1,2,3,4,4,3,,3,4,1,5,4,4,4,3,7.99,2,2,3,1,2,6,2,with low or zero added sugar
5648,R049,100,264,1,1,1,3,1,,"1,8",,1,5,2,2,1,1,3,1,1,3,4,3,4,3,,4,4,1,4,2,1,2,1,6.99,3,2,3,5,2,6,1,with higher protein
5469,R050,100,214,1,1,2,3,5,"Fast food (Culver’s, DQ etc.)","8,9",Fast food,9,4,2,3,1,1,1,1,1,3,4,5,3,4,,4,4,1,4,4,3,2,1,4.99,1,1,3,2,2,3,2,with low or zero added sugar
1274,R051,100,220,1,1,1,4,1,,3,,3,5,2,4,1,1,1,1,1,3,4,2,2,4,,2,4,1,4,4,4,4,2,7.99,1,3,4,5,2,5,3,with higher protein and low or zero added sugar
5071,R052,100,177,1,1,1,3,1,,"1,2,7,8",,8,4,3,3,1,1,1,1,1,3,4,3,3,2,2,3,4,1,5,5,5,3,3,6.99,3,2,4,2,2,2,1,with higher protein
5274,R053,100,5241,1,1,1,4,1,,9,Yasso,4,5,3,4,2,2,3,2,1,1,3,3,3,2,5,4,4,1,5,5,4,1,1,6.99,3,2,2,1,2,7,2,with low or zero added sugar
1383,R054,100,329,1,1,1,4,1,,"2,3,9",Local shop that makes it in house,2,5,1,2,1,1,1,1,1,3,4,4,5,3,,4,4,1,5,4,3,3,2,6.49,3,1,3,1,2,7,1,with higher protein
9412,R055,100,464,1,1,1,3,1,,9,Reeces,7,3,5,3,1,2,2,1,1,4,4,5,3,2,2,5,4,1,5,5,5,4,4,8.99,2,2,3,1,2,2,2,with low or zero added sugar
7732,R056,100,146,1,1,1,2,1,,"1,4,6",,6,3,4,3,4,5,4,4,1,2,2,3,2,2,4,4,4,2,3,4,4,4,3,6.99,3,4,3,3,2,4,1,with higher protein
2281,R057,100,151,1,1,2,2,3,,"1,2,6",,1,3,4,4,5,4,4,5,1,2,2,3,3,2,3,3,4,3,3,3,3,4,3,5,3,3,3,,2,3,2,with low or zero added sugar
3601,R058,100,140,1,1,1,2,2,,"3,6",,5,4,5,4,5,3,3,3,1,2,2,3,4,2,3,3,4,3,4,4,3,3,4,5,3,4,3,2,2,3,3,with higher protein and low or zero added sugar
9434,R059,100,140,1,1,1,1,1,,"2,4,5",,6,4,5,5,4,4,5,5,1,1,1,4,4,1,1,4,4,1,4,5,4,4,4,3.99,4,4,1,3,2,6,1,with higher protein
5614,R060,100,167,1,1,2,3,2,,"3,6",,2,4,3,4,3,5,4,3,1,3,2,3,4,2,1,3,4,2,4,5,2,3,4,3.99,3,4,3,4,3,3,3,with higher protein and low or zero added sugar
7401,R061,100,100,1,1,1,2,2,,"4,5",,2,4,3,4,5,2,3,4,1,2,2,2,3,2,1,2,4,3,5,5,4,4,2,4.99,4,4,2,4,2,3,3,with higher protein and low or zero added sugar
3199,R062,100,167,1,1,2,2,2,,"1,4,6",,1,2,3,4,5,4,3,2,1,1,2,4,4,2,3,3,4,2,4,4,4,4,4,7.99,4,4,3,5,2,4,2,with low or zero added sugar
1680,R063,100,149,1,1,1,2,1,,7,,7,4,3,4,3,4,3,4,1,2,2,3,3,3,,3,4,3,4,4,4,4,4,5.6,4,4,3,4,2,5,3,with higher protein and low or zero added sugar
4860,R064,100,144,1,1,1,2,1,,"2,4,6",,6,3,4,5,4,5,5,5,1,3,2,3,2,2,2,2,4,2,4,3,4,3,4,4.99,3,3,2,2,2,2,3,with higher protein and low or zero added sugar
2647,R065,100,135,1,1,1,1,1,,"1,2,3,4,5,6,7",,2,4,5,5,3,4,5,4,1,2,2,4,4,2,4,3,4,3,5,4,5,5,4,5.99,4,4,2,5,2,6,2,with low or zero added sugar
7444,R066,100,204,1,1,1,1,4,,"2,4,7",,2,5,5,5,4,5,5,5,1,1,3,5,5,1,3,5,4,3,5,5,5,4,4,9,5,5,3,3,3,5,1,with higher protein
2928,R067,100,219,1,1,2,3,1,,"1,2,4",,3,4,3,3,4,3,3,4,1,1,2,3,4,2,3,3,4,1,4,4,4,4,4,3.99,3,4,3,3,2,4,1,with higher protein
9253,R068,100,88,1,1,1,2,2,,"1,5",,5,3,2,2,3,2,2,3,1,2,2,3,3,2,2,2,4,2,2,3,3,2,2,5,2,3,2,2,2,3,2,with low or zero added sugar
3209,R069,100,179,1,1,2,3,3,,"1,2,6",,3,4,5,4,4,3,4,4,1,2,3,4,3,2,4,3,4,3,4,4,3,4,4,8.99,4,4,3,5,3,4,3,with higher protein and low or zero added sugar
7980,R070,100,122,1,1,2,2,3,,2,,3,3,3,2,3,2,4,1,1,3,3,3,1,2,2,3,4,3,3,3,3,3,4,4,2,3,3,3,2,2,3,with higher protein and low or zero added sugar
7772,R071,100,344,1,1,1,1,1,,"2,6,7",,6,5,3,4,2,3,4,4,1,3,3,4,4,2,5,4,4,1,4,5,4,3,2,6,4,4,3,3,3,6,1,with higher protein
1183,R072,100,159,1,1,2,2,2,,"2,3,4",,3,3,4,4,3,4,4,3,1,1,2,3,2,2,3,3,4,2,4,4,4,4,4,6,3,4,2,3,3,5,2,with low or zero added sugar
1065,R073,100,164,1,1,1,1,1,,"2,3,6",,6,5,5,4,4,5,4,4,1,1,2,2,3,3,,3,4,1,5,3,3,3,2,3.99,3,3,3,2,2,3,2,with low or zero added sugar
9878,R074,100,138,1,1,2,2,1,,"5,6",,1,4,5,4,4,4,5,4,1,1,2,4,4,1,2,3,4,1,4,3,3,4,3,5.99,4,4,3,5,3,4,1,with higher protein
3024,R075,100,123,1,1,1,2,2,,"1,4,6",,6,2,3,4,3,2,3,4,1,2,2,3,2,2,3,3,4,2,3,3,3,4,4,8,3,3,3,3,4,4,3,with higher protein and low or zero added sugar
6547,R076,100,135,1,1,1,3,1,,2,,2,4,5,4,4,5,4,4,1,2,1,4,4,1,2,3,4,3,4,4,4,2,1,5,4,4,3,3,3,4,1,with higher protein
8333,R077,100,133,1,1,1,2,1,,"2,3,5",,6,3,4,4,4,4,5,5,1,2,2,3,3,2,2,3,4,1,3,3,3,3,3,8.99,3,3,2,2,3,3,1,with higher protein
2659,R078,100,153,1,1,2,1,1,,"1,2,4,6",,6,3,4,4,5,4,4,4,1,1,2,3,4,2,3,4,4,1,5,4,4,4,4,7.99,5,4,4,4,3,3,3,with higher protein and low or zero added sugar
3930,R079,100,118,1,1,1,2,4,,"3,5,6",,6,4,3,4,4,3,4,4,1,3,1,4,4,1,4,4,4,3,4,4,4,4,4,8.55,4,4,3,1,2,2,3,with higher protein and low or zero added sugar
6426,R080,100,120,1,1,2,3,2,,5,,2,4,5,4,2,4,3,4,1,3,2,2,3,2,2,3,4,3,3,3,4,3,3,4,3,3,4,2,2,3,2,with low or zero added sugar
2575,R081,100,125,1,1,1,2,1,,"1,2,4,6,7",,1,4,4,4,4,4,4,4,1,2,2,3,3,2,2,3,4,2,3,3,3,3,3,7.99,4,3,3,5,2,6,2,with low or zero added sugar
3639,R082,100,142,1,1,1,2,2,,3,,5,1,3,2,3,2,4,2,1,3,2,3,3,1,3,2,4,2,3,4,4,1,2,7.99,2,3,2,3,2,3,3,with higher protein and low or zero added sugar
2890,R083,100,120,1,1,1,1,1,,"1,3,4",,7,5,5,5,5,5,5,5,1,1,1,5,5,1,1,5,4,1,5,5,5,5,5,7.99,5,5,1,3,2,4,2,with low or zero added sugar
4715,R084,100,144,1,1,1,1,1,,"2,3",,3,4,5,5,4,4,5,5,1,1,1,4,4,1,1,4,4,1,5,4,4,4,4,10,4,4,1,3,2,6,2,with low or zero added sugar
5631,R085,100,156,1,1,1,1,1,,"1,2,3,5",,3,4,4,5,5,4,4,3,1,1,3,4,4,2,2,4,4,1,4,4,3,4,4,10,4,4,3,3,3,4,3,with higher protein and low or zero added sugar
9957,R086,100,187,1,1,2,2,1,,7,,7,4,3,4,3,4,3,4,1,3,2,3,3,2,3,3,4,1,3,4,3,4,3,4.99,3,3,3,3,3,5,1,with higher protein
5835,R087,100,213,1,1,2,1,1,,"1,3,4",,4,3,4,4,4,5,4,4,1,3,2,4,4,2,3,4,4,3,4,4,3,4,5,8.99,4,4,3,4,2,4,3,with higher protein and low or zero added sugar
6091,R088,100,123,1,1,2,2,2,,"5,6",,1,3,4,4,3,3,4,4,1,2,2,3,3,2,2,3,4,2,4,4,4,4,4,6,3,4,3,3,3,5,1,with higher protein
2772,R089,100,193,1,1,2,2,1,,"2,4,6",,4,5,4,3,4,5,4,5,1,2,3,3,4,2,3,5,4,3,5,4,3,4,3,4.99,4,4,3,5,2,3,2,with low or zero added sugar
1610,R090,100,195,1,1,2,1,3,,"2,3,4",,4,5,4,5,3,4,5,4,1,2,2,4,4,2,3,4,4,3,4,4,4,2,2,5.55,4,3,3,3,4,1,1,with higher protein
5966,R091,100,227,1,1,1,1,4,,"1,2,4",,1,5,5,4,5,4,5,5,1,2,1,4,4,2,1,5,4,3,4,4,4,4,4,8.99,5,5,3,5,5,2,2,with low or zero added sugar
1224,R092,100,162,1,1,2,2,3,,3,,4,3,4,3,4,3,4,4,1,1,2,2,3,2,4,3,4,2,3,4,4,4,4,5.09,3,4,2,4,2,2,1,with higher protein
9102,R093,100,148,1,1,1,1,1,,"2,3,6",,5,4,5,4,4,4,4,5,1,3,2,4,3,2,3,4,4,1,4,3,4,4,4,5.99,4,4,3,5,3,4,1,with higher protein
8863,R094,100,295,1,1,2,3,2,,"2,3,6",,4,3,3,3,3,3,3,3,1,2,2,3,3,2,4,2,4,2,3,3,3,3,3,7.99,3,3,3,3,2,6,3,with higher protein and low or zero added sugar
2318,R095,100,127,1,1,1,1,1,,"3,5",,3,4,5,5,4,4,5,5,1,1,1,4,4,1,1,4,4,1,5,4,4,4,4,10,4,4,1,3,3,6,3,with higher protein and low or zero added sugar
1920,R096,100,96,1,1,1,2,2,,"2,3,6",,6,3,4,4,5,4,4,4,1,2,2,2,3,2,3,2,4,2,3,3,3,4,4,8,3,3,2,3,4,3,1,with higher protein
1255,R097,100,131,1,1,2,2,1,,5,,5,4,3,4,3,4,3,4,1,3,3,3,3,2,3,3,4,1,4,3,3,2,2,7.99,3,3,2,3,2,5,2,with low or zero added sugar
5789,R098,100,128,1,1,2,1,2,,"1,2,6",,6,4,4,3,5,3,5,4,1,1,3,4,4,1,1,3,4,2,2,3,4,4,4,10,4,4,3,3,3,4,1,with higher protein
9882,R099,100,115,1,1,2,2,3,,"1,2,4",,5,3,3,3,3,3,3,3,1,2,3,3,3,2,3,3,4,2,3,4,4,4,4,4.99,4,3,3,3,2,5,3,with higher protein and low or zero added sugar
8817,R100,100,105,1,1,1,1,1,,"2,3,5",,2,5,5,4,4,4,5,4,1,1,3,3,3,2,2,1,4,1,5,3,3,3,3,3.99,4,3,2,2,2,3,2,with low or zero added sugar
7688,R101,100,148,1,1,2,1,4,,"1,2,3,4,5,6",,2,4,4,4,4,4,4,4,1,2,2,4,2,2,4,2,4,3,4,4,4,4,4,3,4,4,3,5,3,2,3,with higher protein and low or zero added sugar
9217,R102,100,246,1,1,1,1,1,,"2,4,6",,2,4,4,5,4,5,4,3,1,1,2,5,4,2,5,5,4,1,5,3,4,4,4,7,5,4,3,2,2,6,3,with higher protein and low or zero added sugar
3644,R103,100,179,1,1,1,1,1,,1,,2,5,5,5,5,5,5,5,1,1,1,5,5,1,1,5,4,1,5,5,5,5,5,7.99,5,5,1,2,2,3,3,with higher protein and low or zero added sugar
2896,R104,100,148,1,1,2,2,1,,"4,5,6",,7,3,4,4,4,4,4,5,1,2,2,4,2,2,4,3,4,3,3,3,3,3,3,9.99,3,3,2,2,2,3,3,with higher protein and low or zero added sugar
2348,R105,100,178,1,1,1,1,1,,2,,1,5,5,5,4,4,5,5,1,1,1,5,5,2,2,2,4,1,5,5,5,5,5,8.99,4,5,3,3,2,2,1,with higher protein
3935,R106,100,216,1,1,1,1,1,,"2,6",,2,5,5,4,5,5,5,5,1,2,3,5,5,2,1,4,4,1,4,4,4,4,4,8.99,4,5,1,2,2,5,3,with higher protein and low or zero added sugar
1182,R107,100,208,1,1,1,1,4,,"3,4",,4,4,5,4,5,4,5,4,1,1,1,4,4,2,1,3,4,3,4,4,3,4,4,3.29,4,4,3,1,3,5,3,with higher protein and low or zero added sugar
2928,R108,100,193,1,1,2,2,3,,"1,2,3,4,5,6,7,8",,2,3,3,3,3,3,3,3,1,3,3,3,3,3,,4,4,3,3,3,3,3,3,9,3,3,3,4,4,3,3,with higher protein and low or zero added sugar
2845,R109,100,198,1,1,1,1,4,,"1,2,4",,2,4,3,5,5,5,5,5,1,1,2,3,4,1,3,4,4,3,5,4,4,4,3,4.99,4,4,1,2,2,4,2,with low or zero added sugar
6919,R110,100,162,1,1,2,3,3,,"4,5,6",,3,3,4,4,4,4,4,3,1,2,2,3,3,2,3,2,4,2,4,4,4,4,4,6.55,3,4,2,4,3,5,2,with low or zero added sugar
3963,R111,100,356,1,1,1,1,3,,"1,2,3,4,6,7",,4,4,4,3,4,5,3,4,1,1,3,4,4,2,3,4,4,2,5,5,4,4,3,4.99,4,4,3,5,3,6,2,with low or zero added sugar
9994,R112,100,93,1,1,1,1,1,,"2,4",,4,4,5,5,5,4,4,5,1,1,1,4,4,1,1,4,4,1,5,4,4,4,4,7.99,4,4,1,3,3,6,3,with higher protein and low or zero added sugar
7581,R113,100,132,1,1,2,2,3,,"1,3,5",,5,3,4,4,4,4,4,3,1,2,3,2,3,2,3,3,4,2,4,4,4,4,4,6,4,4,2,4,3,5,2,with low or zero added sugar
6676,R114,100,114,1,1,1,1,2,,"1,2,5,6",,1,4,4,5,5,5,4,3,1,1,3,4,4,1,1,4,4,2,3,3,4,4,4,7.99,4,4,3,3,3,4,1,with higher protein
5327,R115,100,132,1,1,2,2,1,,2,,2,4,3,4,3,4,3,4,1,3,3,3,3,2,3,3,4,1,4,3,4,2,2,7.99,3,3,3,3,2,4,1,with higher protein
2913,R116,100,125,1,1,1,1,2,,1,,1,2,3,4,4,2,3,3,1,1,1,4,4,1,1,2,4,3,4,1,1,1,1,3,4,4,3,3,3,3,2,with low or zero added sugar
9799,R117,100,136,1,1,1,1,2,,"1,3,6",,3,4,3,4,3,4,3,3,1,1,3,3,4,2,3,4,4,2,4,4,4,4,4,6.99,4,4,3,2,2,4,2,with low or zero added sugar
2205,R118,100,159,1,1,1,1,1,,"1,2",,1,4,4,4,3,4,4,3,1,1,1,4,4,3,,5,4,3,5,4,5,4,4,10,4,4,3,2,2,2,2,with low or zero added sugar
2686,R119,100,119,1,1,2,1,1,,"2,3,6",,4,4,3,3,4,3,4,3,1,3,2,4,5,2,4,2,4,1,4,4,3,5,4,8.99,4,4,3,3,2,3,1,with higher protein
7503,R120,100,204,1,1,2,2,3,,"2,3,5,6",,5,3,3,3,3,3,3,3,1,2,2,3,3,2,3,3,4,2,3,3,3,3,3,8.99,3,3,2,3,2,6,3,with higher protein and low or zero added sugar
6497,R121,100,183,1,1,1,2,3,,"1,7",,4,4,3,5,2,4,3,5,1,1,1,3,2,3,,2,4,2,3,3,3,4,3,6.99,2,3,1,3,2,3,2,with low or zero added sugar
9690,R122,100,104,1,1,1,2,3,,"2,5,6",,4,3,3,4,4,4,4,4,1,3,3,3,3,2,3,2,4,2,4,4,4,4,4,6,4,4,2,4,3,5,2,with low or zero added sugar
3124,R123,100,281,1,1,1,2,1,,"2,6",,6,4,4,4,4,4,4,3,1,3,4,3,4,2,3,4,4,1,5,4,4,4,3,9.99,4,4,3,3,2,3,3,with higher protein and low or zero added sugar
6445,R124,100,123,1,1,1,1,1,,"1,4,6",,5,3,4,4,4,4,4,4,1,2,2,4,4,1,1,4,4,3,4,4,4,4,4,7.56,3,4,3,1,2,3,2,with low or zero added sugar
2406,R125,100,849,1,1,1,2,3,,"1,2,3,4,5,6,7,8",,1,5,3,4,3,4,5,4,1,2,2,3,4,3,,2,4,3,4,5,4,4,3,5.02,4,5,3,4,4,3,3,with higher protein and low or zero added sugar
3620,R126,100,136,1,1,1,1,3,,"2,3,4,6,7",,4,4,5,4,5,5,4,4,1,1,3,4,4,2,5,4,4,2,5,4,4,4,4,6.99,4,4,3,5,3,5,1,with higher protein
5406,R127,100,155,1,1,1,2,2,,"1,2,4",,1,4,3,4,3,4,3,4,1,2,2,2,3,2,3,2,4,2,4,4,3,3,3,5.55,4,3,2,4,3,4,2,with low or zero added sugar
6364,R128,100,110,1,1,2,2,2,,5,,5,3,3,5,4,4,3,4,1,3,2,2,2,2,4,3,4,2,3,3,4,4,4,3.99,3,4,3,3,2,4,2,with low or zero added sugar
2618,R129,100,248,1,1,1,1,3,,"2,4,6,8",,5,4,3,4,4,4,4,4,1,1,1,4,4,2,1,4,4,1,4,4,3,3,2,8.99,4,4,3,3,2,2,2,with low or zero added sugar
4710,R130,100,130,1,1,2,2,2,,"1,2,3",,5,3,2,4,5,4,3,2,1,1,2,4,5,2,3,3,4,2,5,4,4,4,5,7.99,4,4,3,5,2,4,2,with low or zero added sugar
2468,R131,100,142,1,1,1,1,1,,"2,3,6",,5,5,3,2,3,2,3,3,1,3,2,3,2,3,,3,4,3,3,3,4,3,3,5,3,3,3,3,3,4,2,with low or zero added sugar
